Produkt;Kalorie;Bialko;Tluszcz;Weglowodany;Cukier;Blonnik
Mleko spożywcze. 3,5% tłuszczu;64;3,3;3,5;4,8;0,2;0
Mleko spożywcze , 3,2% tłuszczu;61;3,3;3,2;4,8;0,2;0
Mleko spożywcze, 2% tłuszczu;51;3,4;2;4,9;0,2;0
Mleko spożywcze, 1,5% tłuszczu;47;3,4;1,5;5;0,2;0
Mleko spożywcze . 0,5% tłuszczu;39;3,5;0,5;5, 1;0,2;0
Mleko UHT, 3,2% tluszczu;61;3,3;3,2;4,8;0,2;0
Mleko UHT, 1,5% tłuszczu;47;3,4;1,5;5;0,2;0
Mleko UHT, 0,5% tłuszczu;39;3,5;0,5;5,1;0,2;0
Mleko kozie;68;3,2;4,1;4,5;0;0
Mleko owcze;107;6;7;5, 1;0;0
Mleko odtłuszczone, w proszku;360;35,7;0,8;51,2;0;0
Mleko pełne, w proszku;479;27;24;38,7;0;0
Mleko zagęszczone,niesłodzone;131;6,6;7,5;9,4;0;0
Mleko zagęszczone , slodzone;326;7,5;8;55,3;45;0
Śmietanka kremowa, 30% tluszczu;287;2,2;30;3,1;0;0
Śmietana, 18% tłuszczu;184;2,5;18;3,6;0;0
Śmietana, 12% tłuszczu;133;2,7;12;3,9;0;0
Śmietanka do kawy, 9% tłuszczu;107;2,8;9;4;0;0
Jogurt naturalny, 2% tluszczu;60;4,3;2;6,2;1;0
Jogurt bananowy, 1,5% tluszczu;70;3,7;1,5;10,4;3,6;0,2
Jogurt jagodowy, 1,5% tluszczu ;63;3,7;1,5;8,8;2,2;0,4
Jogurt morelowy, 1,5% tłuszczu;64;3,7;1,5;8,9;2,9;0,3
Jogurt truskawkowy, 1,5% tłuszczu;61;3,7;1,5;8,2;2,4;0,3
Jogurt wiśniowy, 1,5% tłuszczu;61;3,7;1,5;8,2;1,7;0,1
Kefir, 2% tluszczu;51;3,4;2;4,7;0;0
Maślanka spożywcza, 0,5% tłuszczu;37;3,4;0,5;4,7;0;0
Napój mleczny jogurtowy;82;4;1,9;12, 1;7,2;0
Napój mleczny kakaowy;81;3,3;2,1;12, 1;7,2;0,1
Serwatka płynna ;25;0,8;0,1;5,1;0;0
Ser, brie pełnotłusty;329;19,8;28;0,2;0;0
Ser, camembert pełnotłusty;291;21,4;23;0,2;0;0
Ser, cheddar pelnotłusly;391;27,1;31,7;0,1;0;0
Ser, edamski tłusty;313;26,1;23,4;0,1;0;0
Ser, ementaler pełnotł usty;380;28,8;29,7;0,1;0;0
Ser, gouda tłusty;316;27,9;22,9;0,1;0;0
Ser. myśliwski pelnotłusty;346;25,5;27,4;0,1;0;0
Ser, parmezan;452;41,5;32;0,1;0;0
Ser, rokpol pelnotlusty;363;22,6;30,6;0,1;0;0
Ser, salami pelnotłusty;351;25,2;28,1;0,1;0;0
Ser, tylżycki pełnotłusty;353;26,1;27,9;0,1;0;0
Ser, tylżyck i tłusty;334;27,8;25;0,1;0;0
"Ser typu „Feta"" ";215;17;16;1;0;0
Ser twarogowy chudy;99;19,8;0,5;3,5;0;0
